original_size,cleaned_size,word_count,formula_count,section_count,figure_count,table_count,citation_count,filename
31435,9443,1833,552,2,0,0,0,00-5-2001.tex
31435,9443,1833,552,2,0,0,0,00-5.TEX
20523,15000,2141,344,2,0,0,0,00-7-2003.tex
20523,15000,2141,344,2,0,0,0,00-7.TEX
9138,3881,609,114,0,0,0,0,01-01-2000.tex
25498,7550,1157,200,0,0,0,0,01-01-2005.tex
25498,7550,1157,200,0,0,0,0,01-01.TEX
14405,6700,1059,243,0,0,0,0,01-02-2000.tex
14405,6700,1059,243,0,0,0,0,01-02.TEX
13711,1714,423,116,0,0,0,2,01-03-2000.tex
13711,1714,423,116,0,0,0,2,01-03.TEX
21870,4777,750,261,0,0,0,0,01-1-1998.tex
7618,2470,415,100,0,0,0,6,01-1-1999.tex
26747,6722,1294,385,3,0,0,23,01-1-2001.tex
17177,3784,703,269,0,0,0,0,01-1-2002.tex
36671,12546,1997,248,3,0,0,0,01-1-2003.tex
24337,6933,1316,384,5,0,0,22,01-1-2004.tex
24337,6933,1316,384,5,0,0,22,01-1.TEX
38070,6744,1055,669,2,0,0,17,01-10-1997.tex
13076,3034,476,194,0,0,0,5,01-10-1998.tex
24196,11450,1988,438,0,0,0,0,01-10-1999.tex
36285,12443,2522,600,3,0,0,0,01-10-2000.tex
29436,6282,1166,384,2,0,0,10,01-10-2001.tex
24232,4802,877,349,0,0,0,0,01-10-2002.tex
20366,4822,862,256,0,0,0,0,01-10-2003.tex
55786,10965,2451,917,5,0,0,34,01-10-2004.tex
49359,18946,3795,798,0,0,0,0,01-10-2005.tex
49359,18946,3795,798,0,0,0,0,01-10.TEX
21085,4754,846,258,2,0,0,14,01-11-1997.tex
11941,2642,484,174,2,0,0,0,01-11-1998.tex
32689,7019,1394,385,0,0,0,0,01-11-1999.tex
34348,8244,1336,229,0,0,0,0,01-11-2000.tex
33234,6543,1037,298,0,0,0,0,01-11-2001.tex
20686,18405,2564,21,0,0,0,0,01-11-2002.tex
45385,11481,2209,580,4,0,0,34,01-11-2003.tex
46596,17498,2765,743,4,0,0,44,01-11-2004.tex
11347,2908,524,227,0,0,0,0,01-11-2005.tex
11347,2908,524,227,0,0,0,0,01-11.TEX
41793,8503,1438,474,6,0,0,15,01-12-1997.tex
24963,7831,1121,254,6,0,0,0,01-12-1998.tex
53234,12701,2192,589,4,0,0,0,01-12-1999.tex
17637,4067,655,221,3,0,0,0,01-12-2000.tex
22866,6215,887,284,4,0,0,0,01-12-2001.tex
32012,16158,2547,533,0,0,0,0,01-12-2002.tex
44267,9016,1944,485,4,0,0,22,01-12-2003.tex
63803,20347,3825,787,5,0,0,0,01-12-2004.tex
63803,20347,3825,787,5,0,0,0,01-12.TEX
12213,3168,480,124,0,0,0,0,01-2-1998.tex
26985,8621,1406,539,0,0,0,15,01-2-1999.tex
29663,8256,1189,306,4,0,0,0,01-2-2001.tex
27995,7047,1161,221,7,0,0,0,01-2-2002.tex
43627,12556,2329,533,4,0,0,0,01-2-2003.tex
21897,4541,795,293,0,0,0,0,01-2-2004.tex
35045,8311,1490,450,0,0,0,0,01-2-2005.tex
35045,8311,1490,450,0,0,0,0,01-2.TEX
21154,5190,1068,340,3,0,0,0,01-3-1998.tex
49852,16483,2745,892,0,0,0,22,01-3-1999.tex
19312,2701,597,152,4,0,0,13,01-3-2001.tex
39925,8882,1424,298,6,0,0,0,01-3-2002.tex
36108,5162,959,339,3,0,0,26,01-3-2003.tex
13966,11832,1664,271,0,0,0,0,01-3-2004.tex
35472,7922,1872,490,3,0,0,0,01-3-2005.tex
35472,7922,1872,490,3,0,0,0,01-3.TEX
70605,19223,4154,959,5,0,0,31,01-4-1997.tex
46755,6772,1572,563,0,0,0,25,01-4-1998.tex
20494,5176,1023,276,2,0,0,0,01-4-1999.tex
50592,10606,2101,899,0,0,0,31,01-4-2000.tex
26155,6394,1072,249,4,0,0,0,01-4-2001.tex
33739,4085,704,314,0,0,0,0,01-4-2002.tex
13761,4246,714,170,4,0,0,0,01-4-2003.tex
29147,3592,607,286,0,0,0,0,01-4-2004.tex
17292,4464,779,269,0,0,0,15,01-4-2005.tex
17292,4464,779,269,0,0,0,15,01-4.TEX
8682,3611,552,87,2,0,0,8,01-5-1997.tex
10980,2689,476,138,0,0,0,10,01-5-1998.tex
36469,10158,1666,238,0,0,0,0,01-5-1999.tex
39895,10694,2148,794,3,0,0,0,01-5-2000.tex
31362,6201,1306,366,0,0,0,0,01-5-2001.tex
38460,8956,1517,301,4,0,0,0,01-5-2002.tex
20071,4665,742,110,0,0,0,0,01-5-2003.tex
31575,5524,1261,443,0,0,0,0,01-5-2004.tex
40457,4699,939,334,4,0,0,15,01-5-2005.tex
40457,4699,939,334,4,0,0,15,01-5.TEX
55893,19720,3821,766,3,0,0,63,01-6-1997.tex
20366,4562,628,182,0,0,0,23,01-6-1998.tex
40470,7535,1282,503,0,0,0,0,01-6-1999.tex
25185,5677,1343,339,0,0,0,0,01-6-2000.tex
25475,4137,790,393,0,0,0,0,01-6-2001.tex
9396,2644,461,152,0,0,0,0,01-6-2002.tex
35177,21683,3268,650,3,0,0,0,01-6-2003.tex
10357,3594,523,111,0,0,0,0,01-6-2004.tex
36796,7902,1720,332,0,0,0,0,01-6-2005.tex
36796,7902,1720,332,0,0,0,0,01-6.TEX
29090,3512,663,326,0,0,0,6,01-7-1997.tex
26630,6739,1274,390,0,0,0,2,01-7-1998.tex
33240,8530,1636,400,2,0,0,0,01-7-1999.tex
8070,1178,233,91,0,0,0,0,01-7-2000.tex
13109,2904,517,173,0,0,0,12,01-7-2001.tex
14818,2471,398,161,0,0,0,0,01-7-2002.tex
39896,16255,2894,1004,0,0,0,19,01-7-2003.tex
29723,5288,922,382,3,0,0,40,01-7-2004.tex
15581,4873,810,177,2,0,0,0,01-7-2005.tex
15581,4873,810,177,2,0,0,0,01-7.TEX
39894,9450,1494,554,4,0,0,19,01-8-1998.tex
23645,4762,853,198,0,0,0,0,01-8-1999.tex
36334,6297,1223,511,7,0,0,0,01-8-2000.tex
18060,3861,770,241,0,0,0,0,01-8-2001.tex
16954,4514,908,242,0,0,0,13,01-8-2002.tex
13111,4319,766,154,3,0,0,0,01-8-2003.tex
25826,6047,1125,397,6,0,0,0,01-8-2004.tex
9826,3136,564,151,0,0,0,0,01-8-2005.tex
9826,3136,564,151,0,0,0,0,01-8.TEX
11913,2846,450,119,0,0,0,4,01-9-1997.tex
34258,4918,880,360,6,0,0,0,01-9-1998.tex
35527,8339,2000,485,4,0,0,0,01-9-1999.tex
19767,5324,1063,363,2,0,0,0,01-9-2000.tex
35365,8560,1719,493,3,0,0,9,01-9-2001.tex
45083,13851,2918,697,9,0,0,19,01-9-2002.tex
11106,8645,1244,208,0,0,0,0,01-9-2003.tex
35260,6969,1357,415,0,0,0,0,01-9-2004.tex
