title,author,abstract,filename
"Об обратимости линейных разностных операторов \\ 


с постоянными коэффициентами","\it А.Г.\,Баскаков",Не найдено,00-5-2001.tex
"Об обратимости линейных разностных операторов \\ 


с постоянными коэффициентами","\it А.Г.\,Баскаков",Не найдено,00-5.TEX
1-строго слабо регулярные модули и кольца,"\it А.Н.\,Абызов",Не найдено,00-7-2003.tex
1-строго слабо регулярные модули и кольца,"\it А.Н.\,Абызов",Не найдено,00-7.TEX
"Оценка числа решений однородной задачи Римана\\


на параболической римановой поверхности","\it И.А.\,Бикчантаев",Не найдено,01-01-2000.tex
"Об одном аддитивном методе для нестационарных


уравнений Навье--Стокса","\it \fbox{В.Н.\,Абрашин",Не найдено,01-01-2005.tex
"Об одном аддитивном методе для нестационарных


уравнений Навье--Стокса","\it \fbox{В.Н.\,Абрашин",Не найдено,01-01.TEX
"Устойчивость решений нелинейных почти периодических систем


функционально-дифференциальных


уравнений запаздывающего типа","\it Н.В.\,Алексенко",Не найдено,01-02-2000.tex
"Устойчивость решений нелинейных почти периодических систем


функционально-дифференциальных


уравнений запаздывающего типа","\it Н.В.\,Алексенко",Не найдено,01-02.TEX
"О слабом законе больших чисел в банаховых


пространствах мартингального типа $\size{14","\it О.В.\,Антонова, С.А.\,Бронникова, В.В.\,Давыдова, М.\,Ордоньез Кабрера",Не найдено,01-03-2000.tex
"О слабом законе больших чисел в банаховых


пространствах мартингального типа $\size{14","\it О.В.\,Антонова, С.А.\,Бронникова, В.В.\,Давыдова, М.\,Ордоньез Кабрера",Не найдено,01-03.TEX
"Об одном методе построения функций Ляпунова\\ 


для нелинейных неавтономных систем","\it А.Ю.\,Александров",Не найдено,01-1-1998.tex
"Об оценке одного функционала\\ 


в классе звездообразных функций","\it Л.Л.\,Громова, Н.В.\,Киреева",Не найдено,01-1-1999.tex
"Об алгебре многомерных интегральных операторов


с однородными ядрами с переменными коэффициентами","\it О.Г.\,Авсянкин, Н.К.\,Карапетянц",Не найдено,01-1-2001.tex
О некоторых теоремах для системы Прайса,"\it Г.А.\,Акишев",Не найдено,01-1-2002.tex
"Об аддитивных итерационных методах \\


и оценках их скорости сходимости","\it В.Н.\,Абрашин, Н.Г.\,Жадаева",Не найдено,01-1-2003.tex
"Метод доверительных окрестностей 


для минимизации кодифференцируемых функций","\it М.Ю.\,Андрамонов",Не найдено,01-1-2004.tex
"Метод доверительных окрестностей 


для минимизации кодифференцируемых функций","\it М.Ю.\,Андрамонов",Не найдено,01-1.TEX
"Спектральный анализ разностных операторов\\ 


с сильно непрерывными коэффициентами","\it А.Г.\,Баскаков",Не найдено,01-10-1997.tex
 Отображения с симметрией вращения,"\it И.А.\,Александров, Г.Д.\,Садритдинова",Не найдено,01-10-1998.tex
"К вопросу об устойчивости стохастических


функционально-дифференциальных уравнений\\


по первому приближению","\it Р.И.\,Кадиев",Не найдено,01-10-1999.tex
"Степенная задача Римана с постоянными


показателями для двоякопериодических


функций\\ с нулями на контуре","\it Е.П.\,Аксентьева ",Не найдено,01-10-2000.tex
"Внешняя обратная краевая задача


при комбинировании двух параметров из


декартовых координат\\ и полярного угла","\it Н.Р.\,Абубакиров, Р.Б.\,Салимов, П.Л.\,Шабалин",Не найдено,01-10-2001.tex
"Некоторые замечания о радиусе Бора\\


для степенных рядов","\it Л.А.\,Айзенберг, И.Б.\,Гроссман, Ю.Ф.\,Коробейник",Не найдено,01-10-2002.tex
"О существовании и единственности решения  


задачи Коши для дифференциально-операторных 


уравнений смешанного типа","\it В.М.\,Брук, В.А.\,Крысько",Не найдено,01-10-2003.tex
"Индуцированные связности на многообразиях\\


в пространствах с фундаментальными группами","\it М.А.\,Акивис, В.В.\,Гольдберг, А.В.\,Чакмазян",Не найдено,01-10-2004.tex
"Углы между множествами и склейка квазисимметрических


отображений в метрических пространствах","\it В.В.\,Асеев, Д.Г.\,Кузин, А.В.\,Тетенов",Не найдено,01-10-2005.tex
"Углы между множествами и склейка квазисимметрических


отображений в метрических пространствах","\it В.В.\,Асеев, Д.Г.\,Кузин, А.В.\,Тетенов",Не найдено,01-10.TEX
"Метод возмущения\\


дифференциально-алгебраических систем","\it М.В.\,Булатов",Не найдено,01-11-1997.tex
"Единственность положительного решения \\


одной нелинейной двухточечной краевой задачи \\


и численный метод его нахождения","\it Э.И.\,Абдурагимов",Не найдено,01-11-1998.tex
"Об эквивалентности и инвариантах линейных  


дифференциальных уравнений в частных производных  


второго порядка от двух переменных относительно  


замены переменных","\it У.Д.\,Бекбаев",Не найдено,01-11-1999.tex
"Экономичные итерационные схемы реализации метода \\


конечных элементов для стационарных краевых задач \\


математической физики","\it В.Н.\,Абрашин, А.А.\,Егоров, Н.Г.\,Жадаева",Не найдено,01-11-2000.tex
