trigram,frequency
уравнение частный производная,700
обыкновенный дифференциальный уравнение,655
research science str,637
institute informatics problems,598
9pt 6pt введение,561
изв вуз математик,530
квантовый теория поле,458
informatics problems research,453
problems research science,424
candidate science phd,390
функция комплексный переменный,381
10pt 9pt 6pt,379
успех матема наука,377
amer math soc,365
система дифференциальный уравнение,357
система средство информатика,357
scientist institute informatics,335
задача оптимальный управление,320
необходимый достаточный условие,315
systems means informatics,312
решение краевой задача,301
informatiki systems means,285
sredstva informatiki systems,284
sistemy sredstva informatiki,280
информатика применение вып,271
informatika primeneniya inform,260
primeneniya inform appl,256
пер англ изд,249
дифференциальный уравнение частный,243
решение задача кош,238
section section section,234
независимый случайный величина,230
science phd technology,213
doctor science technology,210
матема матема физ,202
сингулярный интегральный уравнение,202
гос техн унт,200
функция удовлетворять условие,198
мерный евклидов пространство,195
теория функция комплексный,194
2n1 2n1 2n1,193
техн унт сера,193
вестн гос техн,191
метод решение задача,190
вычислый матема матема,188
играть важный роль,185
trans amer math,184
алгебра пер англ,184
уравнение второй порядок,183
система обыкновенный дифференциальный,182
сера физмат наука,180
многий комплексный переменный,178
унт сера физмат,178
science physics mathematics,177
взаимно однозначный соответствие,176
уравнение математический физика,175
итог наука техника,175
doctor science physics,174
решение дифференциальный уравнение,173
следующий образ пусть,165
поле комплексный число,164
теория дифференциальный уравнение,164
уравнение 2го порядок,163
lomonosov state university,163
phd physics mathematics,162
краевой задача уравнение,161
уравнение смешанный тип,161
vestn samar gos,160
функция многий комплексный,159
обладать следующий свойство,158
ser fizmat nauki,158
поддержка рффи проект,155
science phd physics,155
оператор гильбертов пространство,154
топологический векторный пространство,154
иметь единственный решение,152
алгебраически замкнутый поле,152
пер англ теория,151
иметь место равенство,150
линейный дифференциальный уравнение,150
senior scientist institute,150
samar gos tekhn,149
univ ser fizmat,149
gos tekhn univ,148
tekhn univ ser,148
численный метод решение,144
boundary value problems,144
теория аналитический функция,143
важный роль играть,142
задача математический физика,141
изв ссср сера,140
дифференциальный уравнение пер,136
computational mathematics cybernetics,136
являться частный случаем,134
faculty computational mathematics,134
ссср сера матема,133
известие вуз математик,133
журнал известие вуз,132
for basic research,131
локально выпуклый пространство,130
